,LATITUDE,LONGITUDE,SIO2,NA2O,K2O,CAO,FEO,MGO,MATERIAL,SAMPLE ID
2069,-0.2691,-91.1167,48.29,2.75,0.53,10.76,,6.59,WR,PETDB-2746-DG43A
2070,-0.2691,-91.1167,71.28,5.09,2.84,1.56,,0.25,WR,PETDB-2746-SR9A
10732,-0.2691,-91.1167,48.79,2.73,0.41,11.32,,6.81,WR,PETDB-2746-DG30
10733,-0.2691,-91.1167,54.35,3.85,1.13,6.84,,3.33,WR,PETDB-2746-DG39
2087,-0.6,-90.65,48.26,3.21,0.69,10.07,9.55,4.31,WR,PETDB-2754-DH-06B
2088,-0.6,-90.65,46.63,3.23,0.81,9.97,10.66,4.7,WR,PETDB-2754-DH-06H
2089,-0.6,-90.65,48.24,2.93,0.43,10.39,8.72,6.78,WR,PETDB-2754-DH-08K
2090,-0.6,-90.65,47.97,2.9,0.4,10.91,10.2,6.44,WR,PETDB-2754-DH-08M
2091,-0.6,-90.65,48.52,2.95,0.42,10.27,7.31,5.58,WR,PETDB-2754-DH-08T
2092,-0.6,-90.65,58.83,4.51,1.49,5.57,4.91,2.65,WR,PETDB-2754-DH-08X
2093,-0.6,-90.65,48.42,2.74,0.28,12.13,3.74,4.48,WR,PETDB-2754-DH-08Y
2094,-0.6,-90.65,53.48,3.44,1.01,8.14,6.94,4.11,WR,PETDB-2754-DL-17B
2095,-0.6,-90.65,47.85,2.56,0.27,11.37,5.05,7.86,WR,PETDB-2754-PS-16
2104,-0.6,-90.65,48.13,3.07,0.44,10.43,,6.21,WR,PETDB-2762-8N
10756,-0.6,-90.65,54.7,3.87,1.08,7.96,7.79,4.01,WR,PETDB-2754-DH-06J
10757,-0.6,-90.65,48.84,3.23,0.62,9.15,10.59,4.87,WR,PETDB-2754-DH-08B
10758,-0.6,-90.65,51.02,3.7,1.13,7.97,5.03,4.34,WR,PETDB-2754-DH-08G
10759,-0.6,-90.65,53.44,3.95,1.08,7.17,7.12,3.45,WR,PETDB-2754-DH-08V
10760,-0.6,-90.65,68.19,5.05,4.05,1.31,2.13,0.14,WR,PETDB-2754-DL-18C
